Dataset Size,Epsilon,Proportions,Init Mode,Extra Steps,Coverage Ratio,Log Coverage,Convergence,Final Reward,V Optimal Gap,Q Optimal Gap
4000,0.5,20% Eps-Greedy / 80% Random,100/0,0,79.27854037027423,1.8991556455769785,0,0.2737095344338243,6.988942825443066,6.727490203624681
8000,0.5,20% Eps-Greedy / 80% Random,100/0,0,73.60688824087117,1.8669184581557101,0,0.26578706448618433,6.643573920147138,6.390043768276394
12000,0.5,20% Eps-Greedy / 80% Random,100/0,0,73.43574573017345,1.865907509431928,0,0.27351960328015107,6.441318343405171,6.180055652740459
16000,0.5,20% Eps-Greedy / 80% Random,100/0,0,72.91316823846596,1.8628059697013803,0,0.28323325799609383,6.949457497948041,6.678481152567386
20000,0.5,20% Eps-Greedy / 80% Random,100/0,0,73.34784258372865,1.8653873442493598,0,0.2806760681174992,6.641777209268524,6.373358053766465
4000,0.7,20% Eps-Greedy / 80% Random,100/0,0,106.87474686386024,2.0288750990975495,0,0.2695682857485752,7.917198409351452,7.659887036218317
8000,0.7,20% Eps-Greedy / 80% Random,100/0,0,95.79208975949543,1.9813296477461906,0,0.2644551361237784,6.747429877221078,6.4952316537127395
12000,0.7,20% Eps-Greedy / 80% Random,100/0,0,77.16729396103064,1.887433271036558,0,0.28062299913126926,6.359670068312056,6.0913039817962265
16000,0.7,20% Eps-Greedy / 80% Random,100/0,0,78.97543590622404,1.8974920316793742,0,0.2840730617895916,6.524155409706369,6.252339260532217
20000,0.7,20% Eps-Greedy / 80% Random,100/0,0,91.48146011522655,1.9613330876676065,0,0.2642779818464323,6.405402238219027,6.153381168988034
4000,0.9,20% Eps-Greedy / 80% Random,100/0,0,186.36719992155003,2.270369480193215,0,0.22293267473548842,5.359003996493702,5.148328234373654
8000,0.9,20% Eps-Greedy / 80% Random,100/0,0,159.05572688299463,2.2015493107203827,0,0.23724318025027394,5.591101716089639,5.3661154484548055
12000,0.9,20% Eps-Greedy / 80% Random,100/0,0,164.79334290834424,2.2169396636926084,0,0.2318327547224976,5.7241225015433335,5.504546659436277
16000,0.9,20% Eps-Greedy / 80% Random,100/0,0,158.09565713498696,2.198919940088972,0,0.2194011052619373,5.643402145484901,5.436257952838402
20000,0.9,20% Eps-Greedy / 80% Random,100/0,0,163.97415499840332,2.2147754015470795,0,0.21997084554866708,6.057490217372908,5.849776284439679
4000,0.1,0% Eps-Greedy / 100% Random,100/0,0,232.96567634551874,2.3672919396019627,0,0.21945042155005925,4.878104239127475,4.6709107301928565
8000,0.1,0% Eps-Greedy / 100% Random,100/0,0,167.69947039818473,2.22453169108844,0,0.2119968248321024,5.87950367131196,5.679763759095298
12000,0.1,0% Eps-Greedy / 100% Random,100/0,0,181.43708437255322,2.258726058315737,0,0.2549963354263531,6.331479537935954,6.0887401151250415
